epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7801,1.24897,2.65011,1.49129,0.00333,1,0.33006,0.15704,0.80775,3.25599,1.62775,0.00012,0.00012,0.00012
2,130.274,1.17877,2.01723,1.41304,0.00333,1,0.51868,0.24553,1.05315,3.18335,1.83418,0.000254852,0.000254852,0.000254852
3,174.238,1.17107,1.6916,1.40971,0.00333,1,0.5673,0.25602,1.30296,3.18409,2.21522,0.00038416,0.00038416,0.00038416
4,216.666,1.15321,1.54808,1.36815,0.4239,0.44991,0.44062,0.19932,1.51754,3.19042,2.4835,0.000507924,0.000507924,0.000507924
5,266.04,1.12581,1.48928,1.36765,0.61873,0.83333,0.76652,0.36421,1.49359,2.74259,2.44209,0.000626144,0.000626144,0.000626144
6,309.089,1.17117,1.44387,1.3595,0.56986,0.38889,0.59375,0.27116,1.46622,3.09447,2.37333,0.00073882,0.00073882,0.00073882
7,351.416,1.07549,1.40518,1.33534,0.61682,0.53737,0.57458,0.3131,1.42684,2.96185,2.36444,0.000845952,0.000845952,0.000845952
8,393.504,1.15646,1.46803,1.38,0.2347,0.33333,0.30124,0.11611,1.65364,2.98139,2.9306,0.00094754,0.00094754,0.00094754
9,435.721,1.15608,1.54919,1.40325,0.54456,0.61111,0.60576,0.31483,1.53582,2.81627,2.5916,0.00104358,0.00104358,0.00104358
10,477.494,1.18008,1.40354,1.35976,0.29677,0.5865,0.34713,0.18342,1.57985,3.04701,2.90903,0.00113408,0.00113408,0.00113408
11,519.331,1.15505,1.36018,1.38565,0.46297,0.61111,0.45866,0.18395,1.66738,4.35471,2.70209,0.00121904,0.00121904,0.00121904
12,561.65,1.1495,1.3426,1.34985,0.55405,0.66667,0.5779,0.29763,1.49911,2.5554,2.40542,0.00129845,0.00129845,0.00129845
13,603.572,1.24989,1.33075,1.46064,0.5945,0.44444,0.47333,0.25057,1.63455,2.82558,2.50357,0.00137232,0.00137232,0.00137232
14,645.326,1.11968,1.19452,1.30733,0.64541,0.66667,0.62871,0.36619,1.58982,2.61599,2.31456,0.00144064,0.00144064,0.00144064
15,687.062,1.23759,1.36256,1.40311,0.65284,0.55556,0.73263,0.36848,1.46249,2.20545,2.3062,0.0014456,0.0014456,0.0014456
16,728.969,1.18262,1.35638,1.39341,0.72298,0.66667,0.72648,0.26591,1.78917,2.32269,2.97529,0.001406,0.001406,0.001406
17,770.693,1.20525,1.3818,1.40467,0.41543,0.43472,0.38749,0.14303,2.13078,2.76298,3.45096,0.0013664,0.0013664,0.0013664
18,812.547,1.12261,1.3311,1.36533,0.39696,0.44444,0.27374,0.14308,1.88429,2.78136,2.81584,0.0013268,0.0013268,0.0013268
19,854.778,1.17192,1.29136,1.39028,0.7207,0.66667,0.72904,0.33489,1.55617,2.77811,2.30782,0.0012872,0.0012872,0.0012872
20,896.546,1.085,1.07054,1.28971,0.55551,0.66667,0.60706,0.29079,1.6986,3.06589,2.42223,0.0012476,0.0012476,0.0012476
21,938.258,1.07626,1.14314,1.27224,0.64012,0.72222,0.68208,0.33454,1.67878,2.82921,2.45286,0.001208,0.001208,0.001208
22,980.224,1.08093,1.08479,1.2685,0.89815,0.49076,0.64246,0.3733,1.60355,2.83614,2.45539,0.0011684,0.0011684,0.0011684
23,1021.91,1.04782,1.08658,1.26242,0.61589,0.62407,0.62014,0.32342,1.5605,2.57281,2.35997,0.0011288,0.0011288,0.0011288
24,1066.12,1.04333,0.97539,1.2263,0.66453,0.66667,0.66313,0.2998,1.93569,2.39398,3.00526,0.0010892,0.0010892,0.0010892
25,1108.37,1.0283,0.94451,1.24374,0.76882,0.77778,0.77337,0.30121,1.99185,2.0225,3.21388,0.0010496,0.0010496,0.0010496
26,1150.36,1.06307,1.0119,1.26923,0.84939,0.94018,0.912,0.49114,1.64255,1.62224,2.86783,0.00101,0.00101,0.00101
27,1192.48,0.98892,0.98729,1.23097,0.83063,0.818,0.88535,0.48147,1.31747,1.61734,2.18631,0.0009704,0.0009704,0.0009704
28,1234.26,0.94056,0.96525,1.2275,0.79944,0.66448,0.77077,0.45704,1.38628,1.86321,2.0329,0.0009308,0.0009308,0.0009308
29,1276.1,1.02532,0.96806,1.2547,0.79743,0.61111,0.77313,0.43458,1.40061,1.85184,2.0643,0.0008912,0.0008912,0.0008912
30,1317.85,0.94603,0.98782,1.20931,1,0.48378,0.70791,0.45254,1.3006,1.94387,2.01513,0.0008516,0.0008516,0.0008516
